ARC121,2,STS3,MW 09:40 AM - 12:50 PM,SAC801_v,19(20)
ARC122,1,NAw,MW 09:40 AM - 12:50 PM,LIB902,19(20)
ARC122,2,SJd,MW 09:40 AM - 12:50 PM,LIB902_v,19(20)
ARC123,1,AHs1,MW 09:40 AM - 12:50 PM,LIB906,11(15)
ARC123,3,AHs1,MW 01:00 PM - 04:10 PM,LIB906,11(12)
ARC123,4,RMY,MW 01:00 PM - 04:10 PM,LIB906_v,11(12)
ARC131,1,Fmq1,ST 08:00 AM - 09:30 AM,SAC201,33(35)
ARC131,2,STS3,MW 08:00 AM - 09:30 AM,SAC201,19(35)
ARC133,1,RMY,M 08:00 AM - 09:30 AM,OAT901,28(35)
ARC200,1,AKd1,R 01:00 PM - 03:00 PM,LIB906,25(25)
ARC213,1,Siu,STWR 09:40 AM - 12:50 PM,OAT803,20(20)
ARC213,2,MKu,STWR 09:40 AM - 12:50 PM,OAT803_v,14(20)
ARC214,1,Mun,STWR 09:40 AM - 12:50 PM,OAT1003,21(25)
ARC215,1,AHs1,STR 09:40 AM - 12:50 PM,OAT1002,17(20)
ARC241,1,SqR,ST 02:40 PM - 04:10 PM,NAC1077,31(35)
ARC241,2,SnF,ST 04:20 PM - 05:50 PM,LIB907,25(35)
ARC242,1,SIK3,ST 02:40 PM - 04:10 PM,NAC1079,28(35)
ARC251,1,IsH,ST 01:00 PM - 02:30 PM,OAT901,12(35)
ARC261,1,Siu,ST 01:00 PM - 02:30 PM,NAC406,33(35)
ARC262,1,Siu,MW 01:00 PM - 02:30 PM,NAC1080,23(35)
ARC263,1,SqR,ST 01:00 PM - 02:30 PM,NAC216,27(35)
ARC264,1,KTM,M 09:40 AM - 12:50 PM,LIB907,19(35)
ARC271,1,AKd1,MW 08:00 AM - 09:30 AM,LIB907,26(35)
ARC272,1,Mun,MW 02:40 PM - 04:10 PM,LIB907,23(35)
ARC273,1,SIK3,M 09:40 AM - 12:50 PM,LIB909,15(15)
ARC273,2,RMY,M 09:40 AM - 12:50 PM,LIB909_V,15(15)
ARC281,1,TBA,R 01:00 PM - 03:00 PM,OAT901,35(35)
ARC282,1,Nzu,R 04:20 PM - 05:50 PM,SAC304,34(35)
ARC283,1,MSB1,R 08:00 AM - 09:30 AM,OAT901,28(35)
