78,ARC121,1,TBA,MW 09:40 AM - 12:50 PM,SAC801
79,ARC121,2,TBA,MW 09:40 AM - 12:50 PM,SAC801
80,ARC122,1,TBA,MW 09:40 AM - 12:50 PM,LIB902
81,ARC122,2,TBA,MW 09:40 AM - 12:50 PM,LIB902
82,ARC123,1,TBA,ST 09:40 AM - 12:50 PM,LIB906
83,ARC123,2,TBA,ST 09:40 AM - 12:50 PM,LIB906
84,ARC131,1,TBA,ST 09:40 AM - 11:10 AM,NAC414
85,ARC131,2,TBA,MW 04:20 PM - 05:50 PM,OAT901
86,ARC131,3,TBA,MW 09:40 AM - 11:10 AM,OAT901
87,ARC133,1,TBA,ST 08:00 AM - 09:30 AM,OAT901
88,ARC133,2,TBA,ST 08:00 AM - 09:30 AM,OAT901
89,ARC200,1,TBA,MW 09:40 AM - 12:50 PM,LIB906
90,ARC200,2,TBA,MW 09:40 AM - 12:50 PM,LIB906
91,ARC213,1,TBA,STMW 01:00 PM - 04:10 PM,LIB901
92,ARC213,2,TBA,STMW 01:00 PM - 04:10 PM,LIB901
93,ARC214,1,TBA,STMW 01:00 PM - 04:10 PM,LIB905
94,ARC214,2,TBA,STMW 01:00 PM - 04:10 PM,LIB905
95,ARC215,1,TBA,STMW 01:00 PM - 04:10 PM,OAT902
96,ARC241,1,TBA,ST 11:20 AM - 12:50 PM,OAT901
97,ARC241,2,TBA,MW 09:40 AM - 11:10 AM,OAT901
98,ARC242,1,TBA,ST 11:20 AM - 12:50 PM,OAT903
99,ARC251,1,TBA,ST 04:20 PM - 05:50 PM,SAC202
100,ARC251,2,TBA,MW 11:20 AM - 12:50 PM,OAT901
101,ARC261,1,TBA,ST 09:40 AM - 11:10 AM,SAC201
102,ARC262,2,TBA,ST 11:20 AM - 12:50 PM,TBA
103,ARC263,1,TBA,ST 11:20 AM - 12:50 PM,LIB905
104,ARC263,2,TBA,MW 04:20 PM - 05:50 PM,LIB907
105,ARC264,1,TBA,R 09:40 AM - 11:10 AM,OAT903
106,ARC271,1,TBA,ST 04:20 PM - 05:50 PM,SAC801
107,ARC271,2,TBA,ST 04:20 PM - 05:50 PM,OAT901
108,ARC272,1,TBA,ST 09:40 AM - 11:10 AM,OAT901
109,ARC273,1,TBA,ST 09:40 AM - 12:50 PM,LIB908
110,ARC273,2,TBA,ST 09:40 AM - 12:50 PM,LIB908
111,ARC281,1,TBA,R 09:40 AM - 12:50 PM,OAT901
112,ARC281,2,TBA,T 09:40 AM - 12:50 PM,OAT901
113,ARC282,1,TBA,R 02:10 PM - 05:00 PM,OAT901
114,ARC283,1,TBA,MW 04:20 PM - 05:50 PM,SAC314
115,ARC310,1,TBA,ST 09:40 AM - 12:50 PM,SAC802
116,ARC310,2,TBA,ST 09:40 AM - 12:50 PM,SAC802
117,ARC316,1,TBA,STMW 01:00 PM - 04:10 PM,LIB903
118,ARC316,2,TBA,STMW 01:00 PM - 04:10 PM,LIB903
119,ARC317,1,TBA,STMW 01:00 PM - 04:10 PM,OAT1001
120,ARC318,1,TBA,STMW 01:00 PM - 04:10 PM,LIB904
121,ARC318,2,TBA,STMW 01:00 PM - 04:10 PM,LIB901
122,ARC324,1,TBA,MW 09:40 AM - 12:50 PM,SAC803
123,ARC324,2,TBA,MW 09:40 AM - 11:10 AM,SAC803
124,ARC334,1,TBA,W 11:20 AM - 12:50 PM,TBA
125,ARC343,1,TBA,ST 11:20 AM - 12:50 PM,LIB902
126,ARC344,1,TBA,MW 08:00 AM - 09:30 AM,OAT901
127,ARC384,1,TBA,R 09:40 AM - 12:50 PM,LIB907
128,ARC384,2,TBA,R 01:10 PM - 05:00 PM,LIB907
129,ARC410,1,TBA,ST 09:40 AM - 11:10 AM,OAT901
130,ARC418,1,TBA,STMW 01:00 PM - 04:10 PM,OAT803
131,ARC418,2,TBA,STMW 01:00 PM - 04:10 PM,OAT803
132,ARC419,1,TBA,STMW 01:00 PM - 04:10 PM,OAT1001
133,ARC437,1,TBA,MW 11:20 AM - 12:50 PM,OAT900
134,ARC438,1,TBA,ST 09:40 AM - 11:10 AM,TBA
135,ARC445,1,TBA,ST 09:40 AM - 11:10 AM,TBA
136,ARC456,1,TBA,ST 11:20 AM - 12:50 PM,NAC413
137,ARC456,2,TBA,MW 11:20 AM - 12:50 PM,TBA
138,ARC474,1,TBA,ST 04:20 PM - 05:50 PM,LIB907
139,ARC492,1,TBA,ST 11:20 AM - 12:50 PM,LIB907
140,ARC500,1,TBA,R 09:40 AM - 11:10 AM,TBA
141,ARC510,1,TBA,STMW 01:00 PM - 04:10 PM,OAT903
142,ARC519,1,TBA,STMW 01:00 PM - 04:10 PM,SAC802
143,ARC535,1,TBA,W 09:40 AM - 11:10 AM,TBA
144,ARC596,1,TBA,STMW 01:00 PM - 04:10 PM,OAT1003
145,ARC598,1,TBA,M 09:40 AM - 12:50 PM,TBA
146,ARC598,2,TBA,M 09:40 AM - 12:50 PM,TBA
147,BBT101,2,TBA,MW 11:20 AM - 12:50 PM,SAC408
148,BBT103/MIC105,1,TBA,TBA,TBA
