90,ARC131,1,FAR,ST 04:20 PM - 05:50 PM
91,ARC133,1,AHS1,R 09:40 AM - 11:10 AM
92,ARC200,1,TBA,TBA
93,ARC213,1,SNF,STW 01:10 PM - 04:10 PM
94,ARC214,1,MUN,STMW 01:00 PM - 04:10 PM
95,ARC215,1,SIU,STW 01:10 PM - 04:10 PM
96,ARC241,1,SQR,MW 11:20 AM - 12:50 PM
97,ARC242,1,IZK,ST 09:40 AM - 11:10 AM
98,ARC251,1,ISH,MW 04:20 PM - 05:50 PM
99,ARC261,1,SIU,MW 09:40 AM - 11:10 AM
100,ARC262,1,SIU,ST 09:40 AM - 11:10 AM
101,ARC263,1,MFN,ST 04:20 PM - 05:50 PM
102,ARC264,1,KTM,R 09:40 AM - 11:10 AM
103,ARC271,1,SNF,MW 09:40 AM - 11:10 AM
104,ARC272,1,HUR,ST 11:20 AM - 12:50 PM
105,ARC273,1,SQR,M 09:40 AM - 12:50 PM
106,ARC281,1,HRK,R 02:10 PM - 05:00 PM
107,ARC282,1,FA2,R 09:40 AM - 12:50 PM
108,ARC283,1,FA2,R 01:00 PM - 02:30 PM
109,ARC310,1,TBA,ST 09:40 AM - 11:10 AM
110,ARC316,1,SAM1,STMW 01:00 PM - 04:10 PM
111,ARC317,1,ISH,STMW 01:00 PM - 04:10 PM
112,ARC318,1,SQR,STMW 01:00 PM - 04:10 PM
113,ARC324,1,RMY,ST 09:40 AM - 12:50 PM
114,ARC334,1,AHS1,MW 11:20 AM - 12:50 PM
115,ARC343,1,MUN,ST 04:20 PM - 05:50 PM
116,ARC344,1,HUR,W 11:20 AM - 12:50 PM
117,ARC384,1,TBA,R 01:00 PM - 04:10 PM
118,ARC410,1,SJD,ST 11:20 AM - 12:50 PM
119,ARC418,1,MFN,STMW 01:00 PM - 04:10 PM
120,ARC419,1,SJD,STMW 01:00 PM - 04:10 PM
121,ARC437,1,HUR,W 11:20 AM - 12:50 PM
122,ARC445,1,ISH,MW 09:40 AM - 11:10 AM
123,ARC456,1,TBA,ST 11:20 AM - 12:50 PM
124,ARC474,1,MFN,ST 11:20 AM - 12:50 PM
125,ARC492,1,FAR,R 02:40 PM - 05:50 PM
126,ARC500,1,HUR,R 11:20 AM - 12:50 AM
127,ARC510,1,MKU,STW 01:10 PM - 04:10 PM
128,ARC519,1,HUR,STW 01:00 PM - 04:10 PM
129,ARC535,1,IZK,MW 09:40 AM - 11:10 AM
130,ARC576,1,Cancelled,ST 11:20 AM - 12:50 PM
131,ARC596,1,IZK,STW 01:10 PM - 04:10 PM
132,BBT101,1,MSH3,RA 04:20 PM - 05:50 PM
133,BBT103,1,SFA2,ST 01:00 PM - 02:30 PM
134,BBT116/MIC116,1,KSd,RA 09:40 AM - 11:10 AM
135,BBT201/CHE201,1,MH1,MW 01:00 PM - 02:30 PM
136,BBT202/CHE202,1,MSH3,RA 09:40 AM - 11:10 AM
137,BBT203,1,Mqn,MW 01:00 PM - 02:30 PM
