91,ARC123,1,AHS1,MW 09:40 AM - 12:50 PM
92,ARC123,2,ALS,MW 09:40 AM - 12:50 PM
93,ARC131,1,FAR,ST 04:20 PM - 05:50 PM
94,ARC131,2,Cancelled,TBA
95,ARC133,1,TBA,MW 08:00 AM - 09:30 AM
96,ARC200,1,MUN,R 09:40 AM - 11:10 AM
97,ARC213,1,FAR,STMW 01:00 PM - 04:10 PM
98,ARC213,2,RMY,STMW 01:00 PM - 04:10 PM
99,ARC214,1,HUR,STMW 01:00 PM - 04:10 PM
100,ARC214,2,TBA,STMW 01:00 PM - 04:10 PM
101,ARC215,1,SIU,STW 01:00 PM - 04:10 PM
102,ARC241,1,SQR,ST 09:40 AM - 11:10 AM
103,ARC242,1,SIK3,ST 09:40 AM - 11:10 AM
104,ARC251,1,ISH,ST 09:40 AM - 11:10 AM
105,ARC261,1,SIU,ST 09:40 AM - 11:10 AM
106,ARC261,2,Cancelled,TBA
107,ARC262,1,SIU,MW 11:20 AM - 12:50 PM
108,ARC263,1,MFN,ST 11:20 AM - 12:50 PM
109,ARC264,1,KTM,R 09:40 AM - 11:10 AM
110,ARC271,1,SNF,ST 09:40 AM - 11:10 AM
111,ARC272,1,HUR,ST 08:00 AM - 09:30 AM
112,ARC273,1,SQR,M 09:40 AM - 12:50 PM
113,ARC281,1,HRK,R 02:40 PM - 04:10 PM
114,ARC282,1,SBC,R 08:00 AM - 11:10 AM
115,ARC283,1,FA2,R 01:00 PM - 02:30 PM
116,ARC310,1,ISH,M 09:40 AM - 12:50 PM
117,ARC310,2,SNF,M 09:40 AM - 12:50 PM
118,ARC316,1,MUN,STW 01:00 PM - 04:10 PM
119,ARC316,2,SAM1,STW 01:00 PM - 04:10 PM
120,ARC317,1,ISH,STMW 01:00 PM - 04:10 PM
121,ARC317,2,TBA,STMW 01:00 PM - 04:10 PM
122,ARC318,1,SQR,STMW 01:00 PM - 04:10 PM
123,ARC318,2,TBA,STMW 01:00 PM - 04:10 PM
124,ARC324,1,KDI,ST 09:40 AM - 12:50 PM
125,ARC324,2,MKU,ST 09:40 AM - 12:50 PM
126,ARC334,1,AHS1,R 11:20 AM - 12:50 PM
