67,ACT333,3,Ani,ST 11:20 AM - 12:50 PM,NAC501,36 (40)
68,ACT341,1,AhU,RA 02:40 PM - 04:10 PM,NAC401,37 (40)
69,ACT410,1,MRe,MW 11:20 AM - 12:50 PM,NAC301,41 (41)
70,ACT410,2,TkS,ST 01:00 PM - 02:30 PM,NAC314,40 (40)
71,ACT431,1,AhU,RA 04:20 PM - 05:50 PM,NAC308,41 (41)
72,ANT101,1,BSq,MW 11:20 AM - 12:50 PM,NAC401,35 (35)
73,ANT101,2,BSq,RA 09:40 AM - 11:10 AM,NAC510,31 (35)
74,ANT101,3,MHR3,MW 02:40 PM - 04:10 PM,NAC311,35 (35)
75,ANT101,4,TZf,ST 02:40 PM - 04:10 PM,NAC602,35 (35)
76,ANT101,5,NN,ST 08:00 AM - 09:30 AM,NAC211,15 (35)
77,ARC111,1,ALS,STMW 01:00 PM - 04:10 PM,SAC802,24 (35)
78,ARC111,2,TkH,STMW 01:10 PM - 04:10 PM,SAC802,1 (20)
79,ARC112,1,IsH,STMW 01:00 PM - 04:10 PM,SAC801,35 (35)
80,ARC112,2,STS3,STMW 01:00 PM - 04:10 PM,SAC801,4 (20)
81,ARC121,1,ALS,ST 09:40 AM - 12:50 PM,SAC802,14 (20)
82,ARC121,2,Siu,ST 09:40 AM - 12:50 PM,SAC802,14 (20)
83,ARC122,1,HUR,ST 09:40 AM - 12:50 PM,LIB902,19 (30)
84,ARC122,2,SnF,ST 09:40 AM - 12:50 PM,LIB902,18 (30)
85,ARC123,1,AHs1,MW 09:40 AM - 12:50 PM,LIB906,8 (30)
86,ARC123,2,AHs1,MW 09:40 AM - 12:50 PM,LIB906,27 (30)
87,ARC131,1,TBA,ST 09:40 AM - 11:10 AM,NAC414,24 (35)
88,ARC131,2,AHN2,MW 04:20 PM - 05:50 PM,SAC314,34 (35)
89,ARC131,3,STS3,MW 09:40 AM - 11:10 AM,NAC501,33 (35)
90,ARC133,1,RMY,M 08:00 AM - 09:30 AM,OAT901,40 (40)
91,ARC133,2,RMY,W 08:00 AM - 09:30 AM,OAT901,14 (40)
92,ARC200,1,Mun,R 09:40 AM - 12:50 PM,LIB906,35 (35)
93,ARC200,2,Mun,M 02:10 PM - 04:10 PM,LIB906,20 (30)
94,ARC200,3,TBA,R 01:00 PM - 04:10 PM,LIB906,31 (35)
95,ARC213,1,TBA,STMW 01:00 PM - 04:10 PM,LIB902,12 (35)
96,ARC214,1,HUR,STMW 01:00 PM - 04:10 PM,SAC902,17 (35)
97,ARC215,1,Siu,STMW 01:10 PM - 04:10 PM,LIB905,32 (35)
98,ARC241,1,SqR,ST 09:40 AM - 11:10 AM,SAC201,21 (35)
99,ARC242,1,SIK3,MW 09:40 AM - 11:10 AM,OAT803,24 (35)
100,ARC251,1,IsH,ST 04:20 PM - 05:50 PM,OAT901,35 (40)
101,ARC261,1,Siu,MW 11:20 AM - 12:50 PM,NAC501,9 (35)
102,ARC262,1,Siu,ST 11:20 AM - 12:50 PM,LIB907,31 (35)
103,ARC263,1,Mfn,ST 11:20 AM - 12:50 PM,SAC312,27 (35)
104,ARC264,1,KTM,R 08:00 AM - 09:30 AM,SAC201,40 (40)
